ttb_id,serial_number,beverage_type,source_of_product,application_type,brand_name,fanciful_name,class_type_designation,applicant_name_address,mailing_address,plant_registry_no,alcohol_content,net_contents,grape_varietal,country_of_origin,wine_appellation,wine_vintage,formula_id,phone,email,application_date,submitted_at,scenario,expected_verdict,violation_kind,gt_brand_name,gt_class_type_designation,gt_alcohol_content,gt_net_contents,gt_applicant_name_address,gt_government_warning,images
10364001000043,100036,MALT_BEVERAGE,DOMESTIC,LABEL_APPROVAL,LEGBITER,,Ale,,,,,12 fl oz,,Massachusetts,,Formula/SOP No.: Lab No./Lab Date:,,(508) 636-2288,,2011-01-05,2011-01-05T12:00:00Z,real_cola,REVIEW,none,LEGBITER,Ale,,12 fl oz,,,"[{""role"": ""BRAND"", ""position"": 1, ""filename"": ""10364001000043_01_BRAND.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 1013, ""height_px"": 984, ""file_size_bytes"": 125101}, {""role"": ""NECK"", ""position"": 2, ""filename"": ""10364001000043_02_NECK.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 1400, ""height_px"": 567, ""file_size_bytes"": 57819}, {""role"": ""OTHER"", ""position"": 3, ""filename"": ""10364001000043_03_OTHER.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 900, ""height_px"": 750, ""file_size_bytes"": 158434}]"
10364001000045,100037,MALT_BEVERAGE,DOMESTIC,LABEL_APPROVAL,LEGBITER,,Ale,,,,,15.5 Gallons,,Massachusetts,,Formula/SOP No.: Lab No./Lab Date:,,(508) 636-2288,,2011-01-05,2011-01-05T12:01:00Z,real_cola,REVIEW,none,LEGBITER,Ale,,15.5 Gallons,,,"[{""role"": ""BRAND"", ""position"": 1, ""filename"": ""10364001000045_01_BRAND.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 1400, ""height_px"": 1400, ""file_size_bytes"": 285135}]"
10364001000040,100034,MALT_BEVERAGE,DOMESTIC,LABEL_APPROVAL,SAINT PATRICKS BEST,,Ale,,,,,12 fl oz,,Massachusetts,,Formula/SOP No.: Lab No./Lab Date:,,(508) 636-2288,,2011-01-04,2011-01-04T12:02:00Z,real_cola,REVIEW,none,SAINT PATRICKS BEST,Ale,,12 fl oz,,,"[{""role"": ""BRAND"", ""position"": 1, ""filename"": ""10364001000040_01_BRAND.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 1013, ""height_px"": 985, ""file_size_bytes"": 150087}, {""role"": ""NECK"", ""position"": 2, ""filename"": ""10364001000040_02_NECK.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 1400, ""height_px"": 567, ""file_size_bytes"": 59293}, {""role"": ""OTHER"", ""position"": 3, ""filename"": ""10364001000040_03_OTHER.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 901, ""height_px"": 751, ""file_size_bytes"": 166743}]"
10364001000042,100035,MALT_BEVERAGE,DOMESTIC,LABEL_APPROVAL,SAINT PATRICKS BEST,,Ale,,,,,15.5 Gallons,,Massachusetts,,Formula/SOP No.: Lab No./Lab Date:,,(508) 636-2288,,2011-01-04,2011-01-04T12:03:00Z,real_cola,REVIEW,none,SAINT PATRICKS BEST,Ale,,15.5 Gallons,,,"[{""role"": ""BRAND"", ""position"": 1, ""filename"": ""10364001000042_01_BRAND.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 1400, ""height_px"": 1400, ""file_size_bytes"": 290369}]"
10266001000124,100923,MALT_BEVERAGE,DOMESTIC,LABEL_APPROVAL,ST. PATRICK'S BEST,,Ale,,,,,15.5 Gallons,,Missouri,,Formula/SOP No.: Lab No./Lab Date:,,(816) 305-3016,,2010-09-29,2010-09-29T12:04:00Z,real_cola,REVIEW,none,ST. PATRICK'S BEST,Ale,,15.5 Gallons,,,"[{""role"": ""BRAND"", ""position"": 1, ""filename"": ""10266001000124_01_BRAND.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 1400, ""height_px"": 1400, ""file_size_bytes"": 345968}]"
09336001000109,09AU92,DISTILLED_SPIRITS,IMPORTED,LABEL_APPROVAL,GOLLES,,Plum Brandy,,,NY-I-2017,40% Alc./Vol.,375 mL,,Austria,,Formula/SOP No.: Lab No./Lab Date: 200800900001 - 11/18/2009,,(201) 930-2392,,2009-12-17,2009-12-17T12:05:00Z,real_cola,REVIEW,none,GOLLES,Plum Brandy,40% Alc./Vol.,375 mL,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","[{""role"": ""BRAND"", ""position"": 1, ""filename"": ""09336001000109_01_BRAND.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 1042, ""height_px"": 851, ""file_size_bytes"": 118266}, {""role"": ""BACK"", ""position"": 2, ""filename"": ""09336001000109_02_BACK.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 476, ""height_px"": 482, ""file_size_bytes"": 97162}]"
08347001000117,081112,DISTILLED_SPIRITS,IMPORTED,LABEL_APPROVAL,HARD ROCK,,Grape Brandy,,,FL-I-15514,43% Alc./Vol.,750 mL,,South Africa,,Formula/SOP No.: Lab No./Lab Date:,,(813) 425-4441,,2009-01-15,2009-01-15T12:06:00Z,real_cola,REVIEW,none,HARD ROCK,Grape Brandy,43% Alc./Vol.,750 mL,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","[{""role"": ""BRAND"", ""position"": 1, ""filename"": ""08347001000117_01_BRAND.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 807, ""height_px"": 1400, ""file_size_bytes"": 225706}, {""role"": ""BACK"", ""position"": 2, ""filename"": ""08347001000117_02_BACK.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 1024, ""height_px"": 1400, ""file_size_bytes"": 296173}]"
08347001000123,081115,DISTILLED_SPIRITS,IMPORTED,LABEL_APPROVAL,LONDONS DRY,,London Dry Gin,,,FL-I-15514,43% Alc./Vol.,750 mL,,South Africa,,Formula/SOP No.: Lab No./Lab Date: 07114002000110 - 05/18/2007,,(813) 425-4441,,2009-01-16,2009-01-16T12:07:00Z,real_cola,REVIEW,none,LONDONS DRY,London Dry Gin,43% Alc./Vol.,750 mL,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","[{""role"": ""BRAND"", ""position"": 1, ""filename"": ""08347001000123_01_BRAND.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 811, ""height_px"": 1400, ""file_size_bytes"": 230131}, {""role"": ""BACK"", ""position"": 2, ""filename"": ""08347001000123_02_BACK.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 1024, ""height_px"": 1400, ""file_size_bytes"": 294327}]"
09335001000045,091200,DISTILLED_SPIRITS,IMPORTED,LABEL_APPROVAL,THE PEDDLER,,Single Malt Scotch Whisky,,,FL-I-1279,43% Alc./Vol.,750 mL,,Scotland,,Formula/SOP No.: Lab No./Lab Date:,,(954) 748-9009,,2009-12-04,2009-12-04T12:08:00Z,real_cola,FAIL,abv_mismatch,THE PEDDLER,Single Malt Scotch Whisky,46% Alc./Vol.,750 mL,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","[{""role"": ""BRAND"", ""position"": 1, ""filename"": ""09335001000045_01_BRAND.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 450, ""height_px"": 708, ""file_size_bytes"": 59949}, {""role"": ""BACK"", ""position"": 2, ""filename"": ""09335001000045_02_BACK.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 450, ""height_px"": 599, ""file_size_bytes"": 95531}]"
08343001000209,081118,DISTILLED_SPIRITS,IMPORTED,LABEL_APPROVAL,YELTSIEN,,Vodka,,,FL-I-15514,43% Alc./Vol.,750 mL,,South Africa,,Formula/SOP No.: Lab No./Lab Date: 120061264 - 09/27/2006,,(813) 425-4441,,2009-01-16,2009-01-16T12:09:00Z,real_cola,REVIEW,none,YELTSIEN,Vodka,43% Alc./Vol.,750 mL,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","[{""role"": ""BRAND"", ""position"": 1, ""filename"": ""08343001000209_01_BRAND.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 806, ""height_px"": 1400, ""file_size_bytes"": 284245}, {""role"": ""BACK"", ""position"": 2, ""filename"": ""08343001000209_02_BACK.jpg"", ""mime_type"": ""image/jpeg"", ""width_px"": 1024, ""height_px"": 1400, ""file_size_bytes"": 312001}]"
